ID,Name,Link,EIN,Overall Rating,Program Expenses,Administrative Expenses,Fundraising Expenses,Fundraising Efficiency,Working Capital Ratio (years),Program Expenses Growth,Liabilities to Assets,Independent Voting Board Members,No Material diversion of assets,Audited financials prepared by independent accountant,Does Not Provide Loan(s) to or Receive Loan(s) From related parties,Documents Board Meeting Minutes,Provided copy of Form 990 to organization's governing body in advance of filing,Conflict of Interest Policy,Whistleblower Policy,Records Retention and Destruction Policy,CEO listed with salary,Process for determining CEO compensation,Board Listed / Board Members Not Compensated,Donor Privacy Policy,Board Members Listed,Audited Financials,Form 990,Key staff listed
1018,Boys & Girls Club of the Smoky Mountains - TN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15882,62-1507789,91.21,0.9050,0.0620,0.0310,0.03,1.69,0.0520,0.2960,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1019,Boys & Girls Club of the Western Reserve - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14778,34-1351557,79.14,0.7160,0.1200,0.1620,0.21,0.55,-0.0050,0.1250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1020,Boys & Girls Club of Tustin - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11348,95-2482220,81.36,0.7920,0.1680,0.0390,0.09,0.29,-0.1150,0.1770,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1021,Boys & Girls Club of Venice - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12697,95-6209203,88.84,0.7840,0.1050,0.1100,0.14,2.44,0.0330,0.1730,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1022,Boys & Girls Club of Washington County - MD,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14705,23-7252343,85.98,0.8110,0.1010,0.0860,0.08,4.54,0.0150,0.0070,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1023,Boys & Girls Club of Worcester - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15225,04-2105851,84.39,0.8040,0.0920,0.1020,0.14,2.77,0.0060,0.1210,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1024,Boys & Girls Clubs of America - GA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3380,13-5562976,96.11,0.7830,0.1340,0.0820,0.09,2.29,0.0580,0.0960,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1025,Boys & Girls Clubs of Ada County - ID,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12001,82-0481687,91.25,0.8320,0.1080,0.0590,0.05,3.97,0.1460,0.0680,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1026,Boys & Girls Clubs of Bay County - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10771,59-1114292,87.94,0.8540,0.1220,0.0230,0.04,0.57,0.0040,0.0310,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1027,Boys & Girls Clubs of Bellevue - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17163,91-0776451,95.47,0.8550,0.0670,0.0760,0.06,4.09,0.1050,0.2410,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1028,Boys & Girls Clubs of Benton Harbor - MI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14484,38-3461586,92.36,0.7710,0.1160,0.1110,0.10,4.96,0.1060,0.0140,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1029,Boys & Girls Clubs of Bloomington - IN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17101,35-0997525,89.24,0.8680,0.0600,0.0700,0.04,2.33,0.1350,0.0510,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1030,Boys & Girls Clubs of Boston - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5964,04-2103922,95.03,0.8030,0.0860,0.1090,0.11,2.48,0.0810,0.0170,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1031,Boys & Girls Clubs of Broward County - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9002,59-1108790,93.01,0.8640,0.0720,0.0630,0.06,2.61,0.0100,0.0310,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1032,Boys & Girls Clubs of Carlsbad - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10525,95-2131503,93.98,0.8630,0.0610,0.0750,0.29,1.91,0.2290,0.1360,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1033,Boys & Girls Clubs of Central Alabama - AL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13339,63-0302102,91.51,0.9100,0.0760,0.0130,0.02,3.28,0.1190,0.0130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1034,Boys & Girls Clubs of Central Florida - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7222,59-0951887,91.65,0.7090,0.1650,0.1250,0.14,2.47,0.0770,0.0240,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1035,Boys & Girls Clubs of Central Georgia - GA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14696,58-0621444,89.24,0.7930,0.1440,0.0610,0.06,0.33,0.0660,0.1310,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1036,Boys & Girls Clubs of Central Iowa - IA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16065,42-6075138,89.44,0.6720,0.1990,0.1280,0.07,4.41,0.1360,0.0330,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1037,Boys & Girls Clubs of Central Mississippi - MS,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11869,64-0331635,86.5,0.8220,0.1520,0.0240,0.03,0.39,0.0500,0.1830,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1038,Boys & Girls Clubs of Central New Hampshire - NH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15101,02-0259874,91.3,0.8430,0.1080,0.0470,0.09,1.92,0.1500,0.1890,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1039,Boys & Girls Clubs of Central Orange Coast - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11310,95-1893417,93.57,0.7950,0.0940,0.1090,0.10,1.45,0.3230,0.0650,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1040,Boys & Girls Clubs of Central Virginia - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14439,54-1602004,97.04,0.8070,0.0950,0.0970,0.07,5.06,0.1610,0.0160,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1041,Boys & Girls Clubs of Central Wyoming - WY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13570,23-7060727,83.37,0.6540,0.2830,0.0610,0.15,2.81,0.1290,0.0550,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1042,Boys & Girls Clubs of Chicago - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6535,36-2166997,82.66,0.7520,0.1310,0.1160,0.19,0.66,0.0140,0.1450,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1043,Boys & Girls Clubs of Cleveland - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10507,34-0770686,94.38,0.8060,0.0930,0.0990,0.11,1.5,0.0910,0.0200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1044,Boys & Girls Clubs of Collin County - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15405,75-1296869,90.07,0.8150,0.0720,0.1120,0.09,1.33,0.0430,0.2070,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1045,Boys & Girls Clubs of Deep East Texas - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12293,75-2254579,75.76,0.8530,0.0960,0.0490,0.08,2.2,0.0160,0.0320,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1046,Boys & Girls Clubs of Delaware - DE,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10072,51-0068712,88.46,0.8720,0.0550,0.0710,0.19,0.99,0.0600,0.2620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1047,Boys & Girls Clubs of Dorchester - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12266,23-7076465,87.69,0.7580,0.1380,0.1020,0.12,1.09,0.0220,0.0850,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1048,Boys & Girls Clubs of Elkhart County - IN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14680,35-1033735,90.13,0.7250,0.2070,0.0670,0.05,3.73,0.2080,0.0130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1049,Boys & Girls Clubs of Elko - NV,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13889,86-0858401,81.54,0.5600,0.1400,0.2990,0.42,3.43,0.1080,0.0060,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1050,Boys & Girls Clubs of Grand Rapids Youth Commonwealth - MI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14341,38-0593958,85.11,0.7340,0.1700,0.0950,0.10,2.34,0.0160,0.0200,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1051,Boys & Girls Clubs of Greater Cincinnati - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14345,31-0536965,88.22,0.7480,0.1660,0.0840,0.05,4.85,-0.0220,0.0870,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1052,Boys & Girls Clubs of Greater Dallas - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12301,75-1152657,91.45,0.8980,0.0780,0.0220,0.03,0.77,0.2290,0.0690,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1053,Boys & Girls Clubs of Greater Houston - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12666,76-0270942,92.07,0.7580,0.1210,0.1200,0.13,2.19,0.0690,0.0550,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1054,Boys & Girls Clubs of Greater Kansas City - MO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12477,43-6072065,88.62,0.7660,0.1210,0.1110,0.12,1.55,0.0620,0.0970,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1055,Boys & Girls Clubs of Greater La Crosse - WI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14263,39-6084791,91.9,0.8270,0.0700,0.1010,0.04,6.94,0.0870,0.0230,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1056,Boys & Girls Clubs of Greater Memphis - TN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9013,62-0646371,96.42,0.8600,0.0810,0.0580,0.06,2.98,0.0790,0.3550,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1057,Boys & Girls Clubs of Greater Milwaukee - WI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3382,39-0806292,94.26,0.8040,0.1280,0.0660,0.07,2.03,0.0840,0.0460,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1058,Boys & Girls Clubs of Greater San Diego - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8217,95-1865988,93.76,0.8560,0.0760,0.0670,0.09,3.06,0.0430,0.0270,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1059,Boys & Girls Clubs of Greater Scottsdale - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7683,86-0133718,86,0.7990,0.1020,0.0980,0.17,1.51,-0.0290,0.0720,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1060,Boys & Girls Clubs of Greater St. Louis - MO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9533,43-6061693,94.01,0.7640,0.1640,0.0710,0.06,2.36,0.2290,0.1010,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1061,Boys & Girls Clubs of Greater Washington - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8975,53-0236759,72.39,0.7630,0.1330,0.1030,0.16,0.99,-0.0210,0.2910,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1062,Boys & Girls Clubs of Harford County - MD,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11822,52-1701612,86.2,0.8110,0.1700,0.0170,0.03,1.26,-0.0570,0.1210,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1063,Boys & Girls Clubs of Hartford - CT,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13649,06-6026005,94.03,0.7810,0.1490,0.0690,0.13,2.55,0.0510,0.0190,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1064,Boys & Girls Clubs of Indian River County - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10828,59-3623298,95.05,0.9050,0.0700,0.0240,0.02,4.7,0.1200,0.0220,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1065,Boys & Girls Clubs of Indianapolis - IN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7693,35-0888754,92.02,0.8550,0.0960,0.0470,0.03,1.9,0.0880,0.0580,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1066,Boys & Girls Clubs of King County - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7382,91-0532600,96.37,0.8460,0.0870,0.0650,0.12,2.63,0.0820,0.1600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1067,Boys & Girls Clubs of Lake & Sumter Counties - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16263,59-1524504,80.86,0.8790,0.0820,0.0380,0.04,0.59,0.3140,0.2310,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1068,Boys & Girls Clubs of Lakeland & Mulberry - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16264,59-0171815,81.99,0.6940,0.2650,0.0400,0.03,0.76,0.1010,0.1890,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1069,Boys & Girls Clubs of Larimer County - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11232,74-2425914,90.07,0.7090,0.1560,0.1330,0.11,4.5,0.0980,0.0620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1070,Boys & Girls Clubs of Martin County - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10393,65-0253002,91.51,0.8650,0.0680,0.0650,0.05,1.81,0.1350,0.0260,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1071,Boys & Girls Clubs of Metro Atlanta - GA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3381,58-0566123,96.21,0.8440,0.0630,0.0920,0.09,2.54,0.0710,0.1940,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1072,Boys & Girls Clubs of Metro Denver - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10110,84-0510404,87.02,0.7510,0.0900,0.1570,0.15,1.9,0.0250,0.0600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1073,Boys & Girls Clubs of Metro Richmond - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14485,54-0564901,80.58,0.6580,0.1850,0.1550,0.09,3.12,-0.0270,0.0260,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1074,Boys & Girls Clubs of Metropolitan Phoenix - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6596,86-0107639,95.55,0.8860,0.0460,0.0670,0.08,2.22,0.0500,0.0650,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1075,Boys & Girls Clubs of MetroWest - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15566,04-2387225,90.79,0.8250,0.1060,0.0680,0.12,0.71,0.0770,0.3970,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1076,Boys & Girls Clubs of Miami-Dade - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12205,59-0879227,92.42,0.8290,0.1190,0.0500,0.09,1.01,0.1530,0.6730,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1077,Boys & Girls Clubs of Middle Tennessee - TN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10864,62-0540402,93.37,0.8070,0.0990,0.0920,0.14,1.3,0.1180,0.0910,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1078,Boys & Girls Clubs of Nassau County Foundation - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13927,59-3672345,100,0.8960,0.0580,0.0450,0.06,5.12,0.2010,< 0.1%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1079,Boys & Girls Clubs of Newport County - RI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13874,05-0281572,89.02,0.8320,0.0900,0.0770,0.13,2,0.0700,0.0360,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1080,Boys & Girls Clubs of North Alabama - AL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13340,63-0360026,86.57,0.8690,0.1000,0.0300,0.04,0.43,< 0.1%,0.1330,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1081,Boys & Girls Clubs of Northeast Florida - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12207,59-6167630,88.74,0.8950,0.0700,0.0340,0.03,1.03,-0.0130,0.2890,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1082,Boys & Girls Clubs of Northwest Indiana - IN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13328,35-0941137,80.7,0.7710,0.1670,0.0600,0.06,1.8,-0.0290,0.0580,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1083,Boys & Girls Clubs of Oklahoma County - OK,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10595,73-1472202,91.79,0.8080,0.0770,0.1140,0.07,3.48,0.1260,0.0070,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1084,Boys & Girls Clubs of Palm Beach County - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10025,23-7060561,92.02,0.8590,0.0770,0.0620,0.07,1.64,0.1190,0.0940,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1085,Boys & Girls Clubs of Philadelphia - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12956,23-1966756,86.2,0.8130,0.1440,0.0420,0.06,1.32,-0.0090,0.0790,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1086,Boys & Girls Clubs of Portland Metropolitan Area - OR,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12496,93-0474800,86.16,0.7590,0.1350,0.1050,0.11,4.61,0.0190,0.1050,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1087,Boys & Girls Clubs of San Francisco - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7611,94-1156608,95.73,0.8140,0.1020,0.0820,0.09,3.72,0.3190,0.2960,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1088,Boys & Girls Clubs of San Marcos - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10277,95-3330218,93.21,0.7770,0.1470,0.0750,0.13,0.94,0.0990,0.0840,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1089,Boys & Girls Clubs of Sarasota County - FL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10094,59-6211876,92.21,0.8400,0.0940,0.0640,0.07,2.27,0.0850,0.0380,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1090,Boys & Girls Clubs of Snohomish County - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10808,91-0549511,94.67,0.8410,0.1070,0.0510,0.07,2.01,0.1140,0.0780,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
